CUSTOMER_ID,FULL_NAME,EMAIL_ADDRESS,JOIN_DATE,LAST_DATE,RECENCY,CHURN,MONETARY,FREQUENCY,RFM_Score,Customer_segment,QUANTITY
14849.0,14849 ICONN Hack,14849@gmail.com,2010-12-01,2011-11-18,21,0.0,317.2216,25,4.72,Top Customers,5694
17968.0,17968 ICONN Hack,17968@gmail.com,2010-12-01,2010-12-01,373,1.0,277.35,1,0.73,Lost Customers,160
16210.0,16210 ICONN Hack,16210@gmail.com,2010-12-01,2011-12-08,1,0.0,1171.461111111111,18,4.87,Top Customers,7559
17897.0,17897 ICONN Hack,17897@gmail.com,2010-12-01,2011-06-20,172,1.0,188.86666666666667,3,2.69,Low Value Customers,229
17377.0,17377 ICONN Hack,17377@gmail.com,2010-12-01,2011-11-16,23,0.0,205.046,20,4.67,Top Customers,2076
16552.0,16552 ICONN Hack,16552@gmail.com,2010-12-01,2011-04-11,242,1.0,189.86500000000004,2,1.97,Low Value Customers,219
17181.0,17181 ICONN Hack,17181@gmail.com,2010-12-01,2011-10-13,57,1.0,119.96000000000001,2,2.22,Low Value Customers,241
17951.0,17951 ICONN Hack,17951@gmail.com,2010-12-01,2011-10-31,39,1.0,336.18,3,2.95,Low Value Customers,616
14729.0,14729 ICONN Hack,14729@gmail.com,2010-12-01,2010-12-01,373,1.0,313.49,1,0.73,Lost Customers,197
12748.0,12748 ICONN Hack,12748@gmail.com,2010-12-01,2011-12-09,0,0.0,160.57014285714288,210,5.0,Top Customers,25748
15012.0,15012 ICONN Hack,15012@gmail.com,2010-12-01,2011-10-17,53,1.0,211.51999999999998,2,2.23,Low Value Customers,231
12868.0,12868 ICONN Hack,12868@gmail.com,2010-12-01,2011-06-07,185,1.0,267.8433333333333,6,3.63,Medium Value Customer,928
17572.0,17572 ICONN Hack,17572@gmail.com,2010-12-01,2011-09-29,71,1.0,56.6875,4,3.27,Medium Value Customer,95
14078.0,14078 ICONN Hack,14078@gmail.com,2010-12-01,2011-08-30,101,1.0,174.895,6,3.72,Medium Value Customer,310
14001.0,14001 ICONN Hack,14001@gmail.com,2010-12-01,2011-10-25,45,1.0,681.0266666666666,3,2.92,Low Value Customers,962
12662.0,12662 ICONN Hack,12662@gmail.com,2010-12-01,2011-12-09,0,0.0,349.98,11,4.69,Top Customers,2058
15525.0,15525 ICONN Hack,15525@gmail.com,2010-12-01,2011-12-07,2,0.0,275.3066666666667,3,3.25,Medium Value Customer,416
14237.0,14237 ICONN Hack,14237@gmail.com,2010-12-01,2010-12-01,373,1.0,161.0,1,0.73,Lost Customers,38
17905.0,17905 ICONN Hack,17905@gmail.com,2010-12-01,2011-09-29,71,1.0,200.06,4,3.27,Medium Value Customer,407
15485.0,15485 ICONN Hack,15485@gmail.com,2010-12-01,2011-11-09,30,0.0,858.3333333333334,3,3.0,Low Value Customers,1306
12433.0,12433 ICONN Hack,12433@gmail.com,2010-12-01,2011-12-09,0,0.0,1910.8385714285716,7,4.39,High value Customer,11071
16955.0,16955 ICONN Hack,16955@gmail.com,2010-12-01,2011-06-08,184,1.0,129.6675,4,3.11,Medium Value Customer,266
15350.0,15350 ICONN Hack,15350@gmail.com,2010-12-01,2010-12-01,373,1.0,115.65,1,0.73,Lost Customers,51
15605.0,15605 ICONN Hack,15605@gmail.com,2010-12-01,2011-11-03,36,1.0,239.64600000000002,5,3.71,Medium Value Customer,441
18144.0,18144 ICONN Hack,18144@gmail.com,2010-12-01,2011-12-02,7,0.0,240.72916666666666,12,4.66,Top Customers,1343
15922.0,15922 ICONN Hack,15922@gmail.com,2010-12-01,2010-12-01,373,1.0,369.5,1,0.73,Lost Customers,138
14594.0,14594 ICONN Hack,14594@gmail.com,2010-12-01,2011-12-02,7,0.0,189.915,2,2.54,Low Value Customers,185
15165.0,15165 ICONN Hack,15165@gmail.com,2010-12-01,2010-12-01,373,1.0,487.75,1,0.73,Lost Customers,160
16456.0,16456 ICONN Hack,16456@gmail.com,2010-12-01,2011-09-01,99,1.0,431.674,5,3.51,Medium Value Customer,1148
17346.0,17346 ICONN Hack,17346@gmail.com,2010-12-01,2011-12-06,3,0.0,178.43733333333333,15,4.78,Top Customers,1657
17643.0,17643 ICONN Hack,17643@gmail.com,2010-12-01,2010-12-01,373,1.0,101.55,1,0.73,Lost Customers,71
17841.0,17841 ICONN Hack,17841@gmail.com,2010-12-01,2011-12-08,1,0.0,330.5771774193548,124,4.99,Top Customers,23071
17873.0,17873 ICONN Hack,17873@gmail.com,2010-12-01,2011-09-20,80,1.0,371.832,5,3.55,Medium Value Customer,1047
13093.0,13093 ICONN Hack,13093@gmail.com,2010-12-01,2011-03-09,275,1.0,979.05875,8,3.82,Medium Value Customer,3961
12921.0,12921 ICONN Hack,12921@gmail.com,2010-12-01,2011-11-30,9,0.0,448.29972972972973,37,4.86,Top Customers,9526
13468.0,13468 ICONN Hack,13468@gmail.com,2010-12-01,2011-12-08,1,0.0,154.1883783783784,37,4.96,Top Customers,2589
17760.0,17760 ICONN Hack,17760@gmail.com,2010-12-01,2011-11-18,21,0.0,143.795,2,2.41,Low Value Customers,239
16928.0,16928 ICONN Hack,16928@gmail.com,2010-12-01,2011-09-20,80,1.0,167.50588235294117,17,4.38,High value Customer,2114
16048.0,16048 ICONN Hack,16048@gmail.com,2010-12-01,2010-12-01,373,1.0,128.22000000000003,2,1.87,Low Value Customers,144
16274.0,16274 ICONN Hack,16274@gmail.com,2010-12-01,2010-12-01,373,1.0,357.95,1,0.73,Lost Customers,155
14496.0,14496 ICONN Hack,14496@gmail.com,2010-12-01,2011-02-01,311,1.0,269.40500000000003,2,1.91,Low Value Customers,159
14696.0,14696 ICONN Hack,14696@gmail.com,2010-12-01,2011-12-05,4,0.0,296.9928571428572,7,4.32,High value Customer,1630
16539.0,16539 ICONN Hack,16539@gmail.com,2010-12-01,2011-12-07,2,0.0,347.2025,4,3.69,Medium Value Customer,477
17025.0,17025 ICONN Hack,17025@gmail.com,2010-12-01,2011-10-10,60,1.0,119.25666666666666,3,2.87,Low Value Customers,235
13777.0,13777 ICONN Hack,13777@gmail.com,2010-12-01,2011-12-09,0,0.0,787.1866666666666,33,4.97,Top Customers,12897
17690.0,17690 ICONN Hack,17690@gmail.com,2010-12-01,2011-11-09,30,0.0,317.19666666666666,15,4.54,Top Customers,1773
12947.0,12947 ICONN Hack,12947@gmail.com,2010-12-01,2011-07-19,143,1.0,267.33166666666665,6,3.67,Medium Value Customer,1165
17460.0,17460 ICONN Hack,17460@gmail.com,2010-12-01,2011-09-06,94,1.0,103.73833333333334,6,3.73,Medium Value Customer,236
18229.0,18229 ICONN Hack,18229@gmail.com,2010-12-01,2011-11-28,11,0.0,363.84499999999997,20,4.77,Top Customers,2488
14142.0,14142 ICONN Hack,14142@gmail.com,2010-12-01,2010-12-01,373,1.0,311.81,1,0.73,Lost Customers,313
17069.0,17069 ICONN Hack,17069@gmail.com,2010-12-01,2011-11-11,28,0.0,301.0777777777778,9,4.32,High value Customer,1506
13065.0,13065 ICONN Hack,13065@gmail.com,2010-12-01,2010-12-01,373,1.0,205.86,1,0.73,Lost Customers,74
14606.0,14606 ICONN Hack,14606@gmail.com,2010-12-01,2011-12-08,1,0.0,130.71666666666667,93,4.99,Top Customers,6224
16835.0,16835 ICONN Hack,16835@gmail.com,2010-12-01,2011-08-03,128,1.0,90.425,2,2.08,Low Value Customers,61
15235.0,15235 ICONN Hack,15235@gmail.com,2010-12-01,2011-05-06,217,1.0,187.29250000000002,12,4.11,High value Customer,1324
13576.0,13576 ICONN Hack,13576@gmail.com,2010-12-01,2011-11-29,10,0.0,373.18555555555554,18,4.76,Top Customers,2646
18011.0,18011 ICONN Hack,18011@gmail.com,2010-12-01,2010-12-01,373,1.0,102.79,1,0.73,Lost Customers,71
13090.0,13090 ICONN Hack,13090@gmail.com,2010-12-02,2011-12-01,8,0.0,636.4871428571429,14,4.71,Top Customers,2263
15694.0,15694 ICONN Hack,15694@gmail.com,2010-12-02,2011-12-09,0,0.0,462.8142857142857,14,4.8,Top Customers,1677
14741.0,14741 ICONN Hack,14741@gmail.com,2010-12-02,2011-11-28,11,0.0,233.39,6,4.1,High value Customer,841
13715.0,13715 ICONN Hack,13715@gmail.com,2010-12-02,2011-03-03,281,1.0,215.86800000000002,5,3.33,Medium Value Customer,563
17732.0,17732 ICONN Hack,17732@gmail.com,2010-12-02,2010-12-02,372,1.0,303.97,1,0.74,Lost Customers,93
12855.0,12855 ICONN Hack,12855@gmail.com,2010-12-02,2010-12-02,372,1.0,38.1,1,0.74,Lost Customers,30
15752.0,15752 ICONN Hack,15752@gmail.com,2010-12-02,2011-10-31,39,1.0,376.7685714285714,7,4.05,High value Customer,1978
17855.0,17855 ICONN Hack,17855@gmail.com,2010-12-02,2010-12-02,372,1.0,208.97,1,0.74,Lost Customers,197
14047.0,14047 ICONN Hack,14047@gmail.com,2010-12-02,2011-12-01,8,0.0,261.72200000000004,5,3.93,Medium Value Customer,381
17925.0,17925 ICONN Hack,17925@gmail.com,2010-12-02,2010-12-02,372,1.0,244.08,1,0.74,Lost Customers,72
13941.0,13941 ICONN Hack,13941@gmail.com,2010-12-02,2011-11-18,21,0.0,1022.592,5,3.81,Medium Value Customer,2364
17017.0,17017 ICONN Hack,17017@gmail.com,2010-12-02,2011-12-07,2,0.0,434.713,20,4.87,Top Customers,6673
14135.0,14135 ICONN Hack,14135@gmail.com,2010-12-02,2011-12-08,1,0.0,312.68733333333336,15,4.82,Top Customers,3850
13108.0,13108 ICONN Hack,13108@gmail.com,2010-12-02,2010-12-02,372,1.0,350.06,1,0.74,Lost Customers,298
15601.0,15601 ICONN Hack,15601@gmail.com,2010-12-02,2011-11-28,11,0.0,484.04,14,4.67,Top Customers,4983
13418.0,13418 ICONN Hack,13418@gmail.com,2010-12-02,2011-11-28,11,0.0,340.4127777777778,18,4.74,Top Customers,3918
15658.0,15658 ICONN Hack,15658@gmail.com,2010-12-02,2011-06-02,190,1.0,204.82,5,3.42,Medium Value Customer,242
14388.0,14388 ICONN Hack,14388@gmail.com,2010-12-02,2011-11-29,10,0.0,401.605,8,4.38,High value Customer,1941
14901.0,14901 ICONN Hack,14901@gmail.com,2010-12-02,2011-11-28,11,0.0,157.92111111111112,9,4.45,High value Customer,661
18041.0,18041 ICONN Hack,18041@gmail.com,2010-12-02,2011-11-28,11,0.0,199.20904761904762,21,4.78,Top Customers,3819
15955.0,15955 ICONN Hack,15955@gmail.com,2010-12-02,2011-11-15,24,0.0,315.44714285714286,14,4.56,Top Customers,2135
15070.0,15070 ICONN Hack,15070@gmail.com,2010-12-02,2010-12-02,372,1.0,106.2,1,0.74,Lost Customers,36
16244.0,16244 ICONN Hack,16244@gmail.com,2010-12-02,2011-05-12,211,1.0,761.375,2,1.99,Low Value Customers,855
15111.0,15111 ICONN Hack,15111@gmail.com,2010-12-02,2011-11-10,29,0.0,522.4933333333333,3,3.0,Low Value Customers,710
14390.0,14390 ICONN Hack,14390@gmail.com,2010-12-02,2011-11-29,10,0.0,516.98,9,4.46,High value Customer,2136
16546.0,16546 ICONN Hack,16546@gmail.com,2010-12-02,2011-02-22,290,1.0,393.57500000000005,2,1.92,Low Value Customers,549
15260.0,15260 ICONN Hack,15260@gmail.com,2010-12-02,2011-08-31,100,1.0,258.68142857142857,7,3.87,Medium Value Customer,885
13305.0,13305 ICONN Hack,13305@gmail.com,2010-12-02,2011-12-05,4,0.0,200.08599999999998,10,4.58,Top Customers,1232
14491.0,14491 ICONN Hack,14491@gmail.com,2010-12-02,2011-06-17,175,1.0,170.465,2,2.03,Low Value Customers,139
14060.0,14060 ICONN Hack,14060@gmail.com,2010-12-02,2011-12-05,4,0.0,323.18,19,4.83,Top Customers,5386
15923.0,15923 ICONN Hack,15923@gmail.com,2010-12-02,2010-12-02,372,1.0,127.08,1,0.74,Lost Customers,122
16752.0,16752 ICONN Hack,16752@gmail.com,2010-12-02,2010-12-02,372,1.0,207.5,1,0.74,Lost Customers,54
17287.0,17287 ICONN Hack,17287@gmail.com,2010-12-02,2011-11-13,26,0.0,152.01571428571427,7,4.13,High value Customer,559
15363.0,15363 ICONN Hack,15363@gmail.com,2010-12-02,2010-12-02,372,1.0,326.0,1,0.74,Lost Customers,144
12915.0,12915 ICONN Hack,12915@gmail.com,2010-12-02,2011-07-14,148,1.0,181.825,2,2.06,Low Value Customers,93
15544.0,15544 ICONN Hack,15544@gmail.com,2010-12-02,2011-11-30,9,0.0,394.0788888888889,9,4.47,High value Customer,3109
15738.0,15738 ICONN Hack,15738@gmail.com,2010-12-02,2011-11-21,18,0.0,300.77625,16,4.65,Top Customers,2982
17381.0,17381 ICONN Hack,17381@gmail.com,2010-12-02,2011-12-01,8,0.0,699.1589655172414,29,4.86,Top Customers,25649
15827.0,15827 ICONN Hack,15827@gmail.com,2010-12-02,2011-09-27,73,1.0,131.14928571428572,14,4.35,High value Customer,882
14180.0,14180 ICONN Hack,14180@gmail.com,2010-12-02,2011-11-29,10,0.0,189.94080000000002,25,4.81,Top Customers,719
13117.0,13117 ICONN Hack,13117@gmail.com,2010-12-02,2011-11-18,21,0.0,123.11375,8,4.29,High value Customer,945
16916.0,16916 ICONN Hack,16916@gmail.com,2010-12-02,2011-11-16,23,0.0,288.13,2,2.39,Low Value Customers,440
17964.0,17964 ICONN Hack,17964@gmail.com,2010-12-02,2011-11-08,31,1.0,235.85,2,2.33,Low Value Customers,301
14466.0,14466 ICONN Hack,14466@gmail.com,2010-12-02,2011-11-10,29,0.0,324.62857142857143,7,4.11,High value Customer,1006
17235.0,17235 ICONN Hack,17235@gmail.com,2010-12-02,2011-11-14,25,0.0,275.03,2,2.37,Low Value Customers,224
16510.0,16510 ICONN Hack,16510@gmail.com,2010-12-02,2010-12-02,372,1.0,248.1,1,0.74,Lost Customers,92
17802.0,17802 ICONN Hack,17802@gmail.com,2010-12-02,2011-09-18,82,1.0,428.34666666666664,3,2.8,Low Value Customers,752
15107.0,15107 ICONN Hack,15107@gmail.com,2010-12-02,2011-02-01,311,1.0,53.25,6,3.52,Medium Value Customer,170
17976.0,17976 ICONN Hack,17976@gmail.com,2010-12-02,2010-12-02,372,1.0,353.19,1,0.74,Lost Customers,106
14449.0,14449 ICONN Hack,14449@gmail.com,2010-12-02,2011-11-21,18,0.0,226.775,4,3.52,Medium Value Customer,757
16781.0,16781 ICONN Hack,16781@gmail.com,2010-12-02,2010-12-02,372,1.0,311.25,1,0.74,Lost Customers,113
13491.0,13491 ICONN Hack,13491@gmail.com,2010-12-02,2011-10-19,51,1.0,121.582,10,4.26,High value Customer,903
16186.0,16186 ICONN Hack,16186@gmail.com,2010-12-02,2011-11-17,22,0.0,333.9116666666667,12,4.52,Top Customers,3020
17685.0,17685 ICONN Hack,17685@gmail.com,2010-12-02,2011-11-23,16,0.0,455.9328571428572,7,4.21,High value Customer,1956
17581.0,17581 ICONN Hack,17581@gmail.com,2010-12-02,2011-12-09,0,0.0,441.8016,25,4.94,Top Customers,5927
15732.0,15732 ICONN Hack,15732@gmail.com,2010-12-02,2011-05-11,212,1.0,147.06,2,1.99,Low Value Customers,215
13138.0,13138 ICONN Hack,13138@gmail.com,2010-12-02,2011-11-17,22,0.0,160.39833333333334,6,4.01,High value Customer,473
15823.0,15823 ICONN Hack,15823@gmail.com,2010-12-02,2010-12-02,372,1.0,15.0,1,0.74,Lost Customers,1
17567.0,17567 ICONN Hack,17567@gmail.com,2010-12-02,2011-12-02,7,0.0,541.435,8,4.42,High value Customer,2632
15061.0,15061 ICONN Hack,15061@gmail.com,2010-12-02,2011-12-06,3,0.0,1136.1279166666666,48,4.94,Top Customers,28920
16203.0,16203 ICONN Hack,16203@gmail.com,2010-12-02,2011-10-12,58,1.0,148.225,4,3.31,Medium Value Customer,262
15640.0,15640 ICONN Hack,15640@gmail.com,2010-12-02,2011-12-05,4,0.0,834.3773333333334,15,4.77,Top Customers,6607
15574.0,15574 ICONN Hack,15574@gmail.com,2010-12-02,2011-06-15,177,1.0,175.5625,4,3.12,Medium Value Customer,349
16770.0,16770 ICONN Hack,16770@gmail.com,2010-12-02,2011-10-13,57,1.0,154.02,5,3.63,Medium Value Customer,464
17838.0,17838 ICONN Hack,17838@gmail.com,2010-12-02,2011-11-13,26,0.0,555.86,5,3.77,Medium Value Customer,1879
17228.0,17228 ICONN Hack,17228@gmail.com,2010-12-02,2011-11-24,15,0.0,238.26125000000002,8,4.34,High value Customer,1532
14829.0,14829 ICONN Hack,14829@gmail.com,2010-12-02,2011-11-10,29,0.0,174.3875,4,3.44,Medium Value Customer,452
17412.0,17412 ICONN Hack,17412@gmail.com,2010-12-02,2011-12-07,2,0.0,179.72285714285712,7,4.36,High value Customer,738
14031.0,14031 ICONN Hack,14031@gmail.com,2010-12-02,2011-12-02,7,0.0,909.8347368421053,19,4.81,Top Customers,5788
14775.0,14775 ICONN Hack,14775@gmail.com,2010-12-02,2011-10-12,58,1.0,337.3,3,2.88,Low Value Customers,1174
12971.0,12971 ICONN Hack,12971@gmail.com,2010-12-02,2011-12-06,3,0.0,130.11523255813952,86,4.95,Top Customers,9289
17659.0,17659 ICONN Hack,17659@gmail.com,2010-12-02,2011-11-22,17,0.0,249.955,12,4.56,Top Customers,1525
15299.0,15299 ICONN Hack,15299@gmail.com,2010-12-02,2011-10-03,67,1.0,643.8585714285715,7,3.95,Medium Value Customer,2948
15646.0,15646 ICONN Hack,15646@gmail.com,2010-12-02,2011-07-05,157,1.0,149.21333333333334,3,2.7,Low Value Customers,394
13402.0,13402 ICONN Hack,13402@gmail.com,2010-12-02,2011-08-04,127,1.0,310.615,2,2.08,Low Value Customers,479
17757.0,17757 ICONN Hack,17757@gmail.com,2010-12-02,2011-12-08,1,0.0,186.843,30,4.95,Top Customers,3320
13011.0,13011 ICONN Hack,13011@gmail.com,2010-12-02,2010-12-02,372,1.0,50.55,1,0.74,Lost Customers,13
13798.0,13798 ICONN Hack,13798@gmail.com,2010-12-02,2011-12-08,1,0.0,651.8219298245614,57,4.98,Top Customers,23948
16754.0,16754 ICONN Hack,16754@gmail.com,2010-12-02,2010-12-02,372,1.0,2002.4,1,0.74,Lost Customers,4280
16634.0,16634 ICONN Hack,16634@gmail.com,2010-12-02,2011-05-01,222,1.0,108.95,2,1.98,Low Value Customers,82
18239.0,18239 ICONN Hack,18239@gmail.com,2010-12-02,2011-05-05,218,1.0,312.322,5,3.39,Medium Value Customer,795
14576.0,14576 ICONN Hack,14576@gmail.com,2010-12-02,2010-12-02,372,1.0,35.400000000000006,1,0.74,Lost Customers,12
13145.0,13145 ICONN Hack,13145@gmail.com,2010-12-02,2011-10-31,39,1.0,154.63,4,3.39,Medium Value Customer,145
18168.0,18168 ICONN Hack,18168@gmail.com,2010-12-02,2011-06-16,176,1.0,194.99,6,3.63,Medium Value Customer,594
14395.0,14395 ICONN Hack,14395@gmail.com,2010-12-02,2011-12-07,2,0.0,389.74555555555554,9,4.55,Top Customers,1693
14865.0,14865 ICONN Hack,14865@gmail.com,2010-12-02,2011-12-02,7,0.0,26.1,2,2.54,Low Value Customers,108
15093.0,15093 ICONN Hack,15093@gmail.com,2010-12-02,2011-11-21,18,0.0,766.1700000000001,6,4.04,High value Customer,3760
12738.0,12738 ICONN Hack,12738@gmail.com,2010-12-02,2010-12-02,372,1.0,155.35,1,0.74,Lost Customers,148
16150.0,16150 ICONN Hack,16150@gmail.com,2010-12-02,2011-10-28,42,1.0,410.604,5,3.68,Medium Value Customer,1047
17552.0,17552 ICONN Hack,17552@gmail.com,2010-12-02,2011-10-10,60,1.0,232.6025,4,3.3,Medium Value Customer,719
14236.0,14236 ICONN Hack,14236@gmail.com,2010-12-02,2011-09-20,80,1.0,245.43,2,2.15,Low Value Customers,310
17961.0,17961 ICONN Hack,17961@gmail.com,2010-12-02,2011-11-18,21,0.0,33.242051282051285,39,4.77,Top Customers,560
14573.0,14573 ICONN Hack,14573@gmail.com,2010-12-02,2011-06-13,179,1.0,183.71333333333334,9,3.98,Medium Value Customer,544
17135.0,17135 ICONN Hack,17135@gmail.com,2010-12-03,2011-11-23,16,0.0,162.81857142857143,7,4.21,High value Customer,1224
17396.0,17396 ICONN Hack,17396@gmail.com,2010-12-03,2011-10-31,39,1.0,916.35,8,4.17,High value Customer,2005
12967.0,12967 ICONN Hack,12967@gmail.com,2010-12-03,2010-12-16,358,1.0,830.45,2,1.89,Low Value Customers,438
12686.0,12686 ICONN Hack,12686@gmail.com,2010-12-03,2010-12-03,371,1.0,89.14,1,0.74,Lost Customers,107
13370.0,13370 ICONN Hack,13370@gmail.com,2010-12-03,2010-12-03,371,1.0,754.87,1,0.74,Lost Customers,343
16883.0,16883 ICONN Hack,16883@gmail.com,2010-12-03,2011-06-05,187,1.0,138.365,2,2.02,Low Value Customers,104
13520.0,13520 ICONN Hack,13520@gmail.com,2010-12-03,2011-10-12,58,1.0,604.0583333333333,6,3.83,Medium Value Customer,1649
12841.0,12841 ICONN Hack,12841@gmail.com,2010-12-03,2011-12-05,4,0.0,160.894,25,4.87,Top Customers,2757
16905.0,16905 ICONN Hack,16905@gmail.com,2010-12-03,2011-12-04,5,0.0,443.2042857142857,7,4.31,High value Customer,1408
12427.0,12427 ICONN Hack,12427@gmail.com,2010-12-03,2011-11-18,21,0.0,275.26666666666665,3,3.07,Medium Value Customer,533
17967.0,17967 ICONN Hack,17967@gmail.com,2010-12-03,2010-12-03,371,1.0,123.07,1,0.74,Lost Customers,80
16891.0,16891 ICONN Hack,16891@gmail.com,2010-12-03,2011-12-08,1,0.0,161.94,5,4.01,High value Customer,283
14589.0,14589 ICONN Hack,14589@gmail.com,2010-12-03,2010-12-03,371,1.0,39.75,1,0.74,Lost Customers,5
14680.0,14680 ICONN Hack,14680@gmail.com,2010-12-03,2011-11-14,25,0.0,1797.131875,16,4.6,Top Customers,13476
17884.0,17884 ICONN Hack,17884@gmail.com,2010-12-03,2011-12-06,3,0.0,179.3625,4,3.67,Medium Value Customer,854
12557.0,12557 ICONN Hack,12557@gmail.com,2010-12-03,2011-11-23,16,0.0,2398.192,5,3.86,Medium Value Customer,4384
14083.0,14083 ICONN Hack,14083@gmail.com,2010-12-03,2011-12-05,4,0.0,113.1588888888889,9,4.52,Top Customers,732
13013.0,13013 ICONN Hack,13013@gmail.com,2010-12-03,2011-12-08,1,0.0,370.07230769230773,13,4.77,Top Customers,2224
14210.0,14210 ICONN Hack,14210@gmail.com,2010-12-03,2011-08-26,105,1.0,317.64000000000004,6,3.71,Medium Value Customer,760
16477.0,16477 ICONN Hack,16477@gmail.com,2010-12-03,2011-10-07,63,1.0,356.3514285714286,7,3.97,Medium Value Customer,1415
